camp_name,address,category,director,operator,city,state,accredited-member,programs,zip_code,nogeo,latitude,longitude
Geneva Glen Camp,5793 Santa Clara Rd,"Independent, Not for Profit",Casey Klein,Geneva Glen Camp Inc (Operator),Indian Hills,CO,Accredited Member,1.0,80454,"5793 Santa Clara Rd, Indian Hills, CO, 80454, USA",39.612752,-105.251885
New Jersey Camp Jaycee,223 Ziegler Rd,The Arc,Jason Brakeman,New Jersey Camp Jaycee (Operator),Effort,PA,Accredited Member,1.0,18330-8193,"223 Ziegler Rd, Effort, PA, 18330-8193, USA",40.9758441,-75.4589608
French Woods Sports and Arts Center,431 Chapel Hill Rd,"Independent, For Profit",Nigel Watson,French Woods Festival of the Performing Arts Inc. (Operator),Hancock,NY,Accredited Member,5.0,13783-2248,"431 Chapel Hill Rd, Hancock, NY, 13783-2248, USA",41.9115291,-75.2012172
Camp Becket YMCA,748 Hamilton Rd,YMCA,Chris Burke,Becket Chimney Corners YMCA,Becket,MA,Accredited Member,2.0,01223-9686,"748 Hamilton Rd, Becket, MA, 01223-9686, USA",42.2836739,-73.0703433
Camp4Kids,,Multidenominational Christian,Ron Clear,Camp4Kids (Operator),Big Bear City,CA,Accredited Member,2.0,,"nan, Big Bear City, CA, nan, USA",34.2611183,-116.84503
Camp4Kids,Big Bear City,Multidenominational Christian,Ron Clear,Camp4Kids (Operator),BigBear,CA,,1.0,,"Big Bear City, BigBear, CA, nan, USA",34.2611183,-116.84503
Ronald McDonald Family Camp,3925 Chestnut StPhiladelphia,"Independent, Not for Profit",Cindy Candela-Ryan,Philadelphia Ronald McDonald House,Greeley,PA,Accredited Member,2.0,19104,"3925 Chestnut StPhiladelphia, Greeley, PA, 19104, USA",39.9558531,-75.2011835
Camp Tel Noar,167 Main St,"Jewish, Association of Independent Jewish Camps",Efraim Yudewitz,Eli and Bessie Cohen Camps,Hampstead,NH,Accredited Member,2.0,03841-2038,"167 Main St, Hampstead, NH, 03841-2038, USA",42.8838622,-71.1893869
J.M. Feltner 4-H Camp,380 J M Feltner Rd,4-H Clubs,Kevin Pettigrew,Kentucky 4-H Camps,London,KY,Accredited Member,2.0,40744-9335,"380 J M Feltner Rd, London, KY, 40744-9335, USA",37.0788089,-84.0364955
YMCA Camp Kresge,"382 Camp Kresge Ln,  18661-",YMCA,Devin Polhemus,Greater Wyoming Valley Area YMCA,White Haven,PA,Accredited Member,3.0,18661,"382 Camp Kresge Ln,  18661-, White Haven, PA, 18661, USA",41.086034,-75.8408207
Camp Meriwether,653 Meadows Boone Rd,Girl Scouts of the USA,Tess May,Girl Scouts - Greater Atlanta,Luthersville,GA,Accredited Member,1.0,30251-1951,"653 Meadows Boone Rd, Luthersville, GA, 30251-1951, USA",33.214379,-84.7217245
Camp Chief Ouray YMCA,1101 County Road 53,YMCA,Michael Ohl,Camp Chief Ouray YMCA (Operator),Granby,CO,Accredited Member,7.0,80446,"1101 County Road 53, Granby, CO, 80446, USA",39.98684060000001,-105.9414274
Camp Graham,334 Regional Water Ln,Girl Scouts of the USA,Rebecca Kowalski,Girl Scouts - North Carolina Coastal Pines,Henderson,NC,Accredited Member,2.0,27537-5575,"334 Regional Water Ln, Henderson, NC, 27537-5575, USA",36.432529,-78.35561799999999
Camp Sealth,14500 SW Camp Sealth Rd,Camp Fire,,Camp Fire Central Puget Sound Council,Vashon,WA,Accredited Member,8.0,14500,"14500 SW Camp Sealth Rd, Vashon, WA, 14500, USA",47.3638042,-122.5235365
Camp Summit,270 Private Road 3475,"Independent, Not for Profit",Grady Howell,Camp Summit Inc,Paradise,TX,Accredited Member,1.0,76073,"270 Private Road 3475, Paradise, TX, 76073, USA",33.114008,-97.729468
Green River Preserve,301 Green River Rd,"Independent, Not for Profit",Sandy & Missy Schenck,Green River Preserve (Operator),Cedar Mountain,NC,Accredited Member,5.0,28718-9053,"301 Green River Rd, Cedar Mountain, NC, 28718-9053, USA",35.1634822,-82.5857334
Lake Louise,11037 Thumb Lake Rd,,,Lake Louise Christian Comm Camp and Retreat Ctr,Boyne Falls,MI,Accredited Member,8.0,11037,"11037 Thumb Lake Rd, Boyne Falls, MI, 11037, USA",45.1876695,-84.75322489999999
Latvian Center Garezers,57732 Lone Tree Rd,"Independent, Not for Profit",,Latvian Center Garezers (Operator),Three Rivers,MI,Accredited Member,1.0,57732,"57732 Lone Tree Rd, Three Rivers, MI, 57732, USA",41.9630934,-85.73304189999999
Camp Sugarbush,6515 State Route 88,,,Girl Scouts - North East Ohio,Kinsman,OH,Accredited Member,1.0,44428-9743,"6515 State Route 88, Kinsman, OH, 44428-9743, USA",41.390254,-80.58760199999999
Namanu,10300 SE Camp Namanu Road,Camp Fire,Steven Joinson,Camp Fire Columbia,Sandy,OR,Accredited Member,2.0,10300,"10300 SE Camp Namanu Road, Sandy, OR, 10300, USA",45.447467,-122.2420445
Shadow Rim Ranch,,Girl Scouts of the USA,Justina A. Burks,Girl Scouts - Arizona Cactus-Pine,Payson,AZ,Accredited Member,1.0,,"nan, Payson, AZ, nan, USA",34.2308684,-111.3251355
Camp Birchwood for Boys,12586 Gunflint Trl Slip 85,"Independent, For Profit",Dan and Ashley Bredemus,Birchwood Wilderness Camp,Grand Marais,MN,Accredited Member,2.0,12586,"12586 Gunflint Trl Slip 85, Grand Marais, MN, 12586, USA",48.0552927,-90.520276
YMCA Camp Arbutus-Hayo-Went-Ha,1380 E Arbutus Lake Rd,YMCA,Amanda Macaluso,State YMCA of Michigan,Traverse City,MI,Accredited Member,6.0,49696-9455,"1380 E Arbutus Lake Rd, Traverse City, MI, 49696-9455, USA",44.6691,-85.512676
YMCA Camp Colman,20016 Bay Road Kp S,YMCA,Daniella Barron,YMCA of Greater Seattle,Longbranch,WA,Accredited Member,1.0,20016,"20016 Bay Road Kp S, Longbranch, WA, 20016, USA",47.2189902,-122.8044937
Camp Quest North - MN,7000 County Rd 15,Atheist/Humanist,,Camp Quest North (Operator),Mound,MN,Accredited Member,1.0,55364,"7000 County Rd 15, Mound, MN, 55364, USA",44.9409199,-93.70111750000001
YMCA Camp Watia,5030 Watia Road,YMCA,Shannon Raab,YMCA of Western North Carolina,Bryson City,NC,Accredited Member,1.0,28713-6203,"5030 Watia Road, Bryson City, NC, 28713-6203, USA",35.34569,-83.60345199999999
Character Challenge Adventures,13240 County 40,"Independent, Not for Profit",Travis Guida,Camp of Champs (Operator),Park Rapids,MN,Accredited Member,1.0,13240,"13240 County 40, Park Rapids, MN, 13240, USA",47.0150774,-95.0935865
Canyon Creek Summer Camp,18651 Pine Canyon Rd,"Independent, For Profit","Daryl Moss, Nathalie Moss, & Jeff Robinson",Canyon Creek Properties LLC,Lake Hughes,CA,Accredited Member,1.0,18651,"18651 Pine Canyon Rd, Lake Hughes, CA, 18651, USA",34.6834965,-118.4623424
North Woods and Pleasant Valley,Rt 109 N and Northwoods Rd,YMCA,,YMCA Greater Boston Camp Service Branch,Mirror Lake,NH,Accredited Member,2.0,03853,"Rt 109 N and Northwoods Rd, Mirror Lake, NH, 03853, USA",43.6340662,-71.2819669
Camp Chatuga,291 Camp Chatuga Rd,"Independent, For Profit",Angela Sullivan,RMoxley LBarnett ASullivan,Mountain Rest,SC,Accredited Member,1.0,29664-9540,"291 Camp Chatuga Rd, Mountain Rest, SC, 29664-9540, USA",34.881055,-83.132646
YMCA Camp Hi-Rock,544 East St,YMCA,Jessica Speer-Holmes,Central Connecticut Coast YMCA,Mount Washington,MA,Accredited Member,2.0,01258-9741,"544 East St, Mount Washington, MA, 01258-9741, USA",42.0669934,-73.445487
Imago Dei Village,W8160 Cloverleaf Lake Rd,"Lutheran, ELCA",Jess Throlson,Crossways Lutheran Camping Ministries (LOM),Clintonville,WI,Accredited Member,5.0,54929-9439,"W8160 Cloverleaf Lake Rd, Clintonville, WI, 54929-9439, USA",44.693395,-88.647351
Camp Sabra ,"30750 Camp Sabre RdRocky Mount, MO",Jewish Community Center,Terri Grossman,St. Louis JCC (JCCA),,,,,30750,"30750 Camp Sabre RdRocky Mount, MO, nan, nan, 30750, USA",38.2360038,-92.74094099999999
Camp Tekoa UMC,211 Thomas Rd,United Methodist,James Johnson,United Methodist Camp Tekoa (UMCRM),Hendersonville,NC,Accredited Member,1.0,28739-7387,"211 Thomas Rd, Hendersonville, NC, 28739-7387, USA",35.2618322,-82.50725179999999
Chop Point,420 Chops Point Rd,Nondenominational Christian,David Wilkinson,Chop Point Inc,Woolwich,ME,Accredited Member,1.0,04579-4045,"420 Chops Point Rd, Woolwich, ME, 04579-4045, USA",44.0043283,-69.80893999999999
Circle V Ranch,2550 Highway 154,Roman Catholic,Ray Lopez,Society of St Vincent de Paul Los Angeles,Santa Barbara,CA,Accredited Member,1.0,93105-9111,"2550 Highway 154, Santa Barbara, CA, 93105-9111, USA",34.4475064,-119.7598564
Hidden Villa Summer Camp,26870 Moody Rd,"Independent, Not for Profit",Ben King,Trust For Hidden Villa,Los Altos Hills,CA,Accredited Member,6.0,26870,"26870 Moody Rd, Los Altos Hills, CA, 26870, USA",37.353674,-122.1585296
The Bishop's Ranch,5297 Westside Rd,Episcopal,Marguerite Cauchois,The Bishop's Ranch (ECCC),Healdsburg,CA,Accredited Member,3.0,95448-9326,"5297 Westside Rd, Healdsburg, CA, 95448-9326, USA",38.5440766,-122.8739604
Girl Scouts Hornets Nest Council Resident Camp,1919 Turnersburg Hwy,,,Girl Scouts - Hornets' Nest (Operator),Statesville,NC,Accredited Member,5.0,28625-1672,"1919 Turnersburg Hwy, Statesville, NC, 28625-1672, USA",35.894899,-80.825338
Red Pine Camp,8531 Red Pine Rd,"Independent, Not for Profit",Connie Scholfield,Red Pine Camp Foundation Inc,Woodruff,WI,Accredited Member,1.0,54568-9347,"8531 Red Pine Rd, Woodruff, WI, 54568-9347, USA",45.8778136,-89.6197298
Camp Tanako,4301 Highway 290,United Methodist,Kayla Hardage,Arkansas United Methodist Church Camp & Retreat Ministry (UMCRM),Hot Springs,AR,Accredited Member,1.0,71913-8799,"4301 Highway 290, Hot Springs, AR, 71913-8799, USA",34.4193646,-92.9767828
Camp Merriwood LLC,11 Camp Rd,"Independent, For Profit",The Miller Family,Camp Merriwood LLC (Operator),Orford,NH,Accredited Member,1.0,03777-4400,"11 Camp Rd, Orford, NH, 03777-4400, USA",43.9032471,-71.9869811
Many Point Scout Camp,41408 Many Point Scout Camp Rd,Boy Scouts of America,Alex Farrell,Northern Star Scouting,Ponsford,MN,Accredited Member,3.0,41408,"41408 Many Point Scout Camp Rd, Ponsford, MN, 41408, USA",47.0920981,-95.5229044
Camp Horizons,"127 Babcock Hill RdSouth Windham, CT",Hole in the Wall,Scott Lambeck,Horizons Inc,Harrisonburg,VA,Accredited Member,5.0,06266-1137,"127 Babcock Hill RdSouth Windham, CT, Harrisonburg, VA, 06266-1137, USA",41.6695538,-72.16953730000002
Camp Horizons,127 Babcock Hill Rd,Hole in the Wall,Scott Lambeck,Horizons Inc,South Windham,CT,Accredited Member,4.0,06266-1137,"127 Babcock Hill Rd, South Windham, CT, 06266-1137, USA",41.6695538,-72.16953730000002
Hat Creek Camp,7145 Hat Creek Rd,"Independent, Not for Profit",,Patrick Henry Family Services,Brookneal,VA,Accredited Member,1.0,24528-2577,"7145 Hat Creek Rd, Brookneal, VA, 24528-2577, USA",37.1090342,-78.9312868
Ghostlight Theater Camp,"7 Camp Eastwood CirOakland, ME","Independent, For Profit",Chris Murrah,Manitou (Operator),Millstone Township,NJ,Accredited Member,2.0,04963-4171,"7 Camp Eastwood CirOakland, ME, Millstone Township, NJ, 04963-4171, USA",44.5950891,-69.7626234
Ghostlight Theater Camp,7 Camp Eastwood Cir,"Independent, For Profit",Chris Murrah,Manitou (Operator),Oakland,ME,Accredited Member,2.0,04963-4171,"7 Camp Eastwood Cir, Oakland, ME, 04963-4171, USA",44.5950891,-69.7626234
Camp Hawthorne Ridge,7755 Hawthorne Ridge Rd,,,Girl Scouts - Western Pennsylvania,Girard,PA,Accredited Member,1.0,16417-8718,"7755 Hawthorne Ridge Rd, Girard, PA, 16417-8718, USA",41.9697061,-80.2362708
Camp High Rocks,1234 High Rocks Rd,"Independent, For Profit",Don and Elizabeth Gentle,"Camp High Rocks, Inc",Brevard,NC,Accredited Member,3.0,28712,"1234 High Rocks Rd, Brevard, NC, 28712, USA",35.16416280000001,-82.6796098
Camp Waziyatah,530 Mill Hill Rd,"Independent, For Profit",Gregg Parker,Camp Waziyatah (Operator),Waterford,ME,Accredited Member,2.0,04088-4011,"530 Mill Hill Rd, Waterford, ME, 04088-4011, USA",44.1748513,-70.6724115
Menominee for Boys,5035 County D,,,Menominee for Boys (Operator),Eagle River,WI,Accredited Member,1.0,54521-9572,"5035 County D, Eagle River, WI, 54521-9572, USA",45.8576862,-89.3963455
NC State University-College of Engineering,111 Lampe Drive,College or University,Susan D'Amico,NC State University-College of Engineering (Operator),Raleigh,NC,Accredited Member,1.0,27695-0001,"111 Lampe Drive, Raleigh, NC, 27695-0001, USA",35.7855093,-78.6680006
Camp Carter YMCA,6200 Sand Springs Rd,YMCA,Linda Archer,YMCA of Metropolitan Ft Worth,Fort Worth,TX,Accredited Member,1.0,76114-2446,"6200 Sand Springs Rd, Fort Worth, TX, 76114-2446, USA",32.7829616,-97.4114079
Chestnut Ridge,4300 Camp Chestnut Ridge Rd,United Methodist,Nick Jeffries,NC United Methodist Camp & Retreat (UMCRM),Efland,NC,Accredited Member,1.0,27243-9722,"4300 Camp Chestnut Ridge Rd, Efland, NC, 27243-9722, USA",36.03786210000001,-79.1963684
Camp Echo,3782 S Triangle Trl,YMCA,Bernard Rocca,McGaw YMCA,Fremont,MI,Accredited Member,4.0,49412-6700,"3782 S Triangle Trl, Fremont, MI, 49412-6700, USA",43.4893349,-85.85041199999999
Camp Echo,"3782 S Triangle TrlFremont, MI",YMCA,Bernard Rocca,McGaw YMCA,Burlingham,NY,Accredited Member,2.0,49412-6700,"3782 S Triangle TrlFremont, MI, Burlingham, NY, 49412-6700, USA",44.3148443,-85.60236429999999
Camp Lakota,56 Park Rd,"Independent, For Profit",Michael Childs,Kota Kamp Inc,Wurtsboro,NY,Accredited Member,2.0,12790-3140,"56 Park Rd, Wurtsboro, NY, 12790-3140, USA",41.6078743,-74.5369922
Camp Lakota,"56 Park RdWurtsboro, NY","Independent, For Profit",Michael Childs,Kota Kamp Inc,Frazier Park,CA,,1.0,12790-3140,"56 Park RdWurtsboro, NY, Frazier Park, CA, 12790-3140, USA",34.8227556,-118.9448219
Camp Riva-Lake for Girls,1281 Riva Lake Rd,"Independent, Not for Profit",Nonnie Preuss/Erica Hilmas-Tucker,Camp Riva-Lake for Girls (Operator),Winchester,TN,Accredited Member,1.0,37398-4441,"1281 Riva Lake Rd, Winchester, TN, 37398-4441, USA",35.2252298,-86.14677569999999
Camp Ramah in New England,39 Bennett St,"Jewish, Conservative",Rabbi Ed Gelb,Ramah in New England (Operator),Palmer,MA,Accredited Member,1.0,01069,"39 Bennett St, Palmer, MA, 01069, USA",42.2095107,-72.3135368
FFGC Wekiva Youth Camp,1800 Wekiwa Circle,"Independent, Not for Profit",Shelby Mander,FFGC Wekiva Youth Camp (Operator),Apopka,FL,Accredited Member,1.0,32712,"1800 Wekiwa Circle, Apopka, FL, 32712, USA",28.7388353,-81.4820144
Bear Creek Camp,3601 Bear Creek Blvd,"Lutheran, ELCA",,Eastern PA Lutheran Camp Corp (LOM),Bear Creek Township,PA,Accredited Member,5.0,18702-9659,"3601 Bear Creek Blvd, Bear Creek Township, PA, 18702-9659, USA",41.21301709999999,-75.7504589
Easterseals Camp Stand By Me,17809 S  Road NW,Easterseals,Angela Cox,Easterseals WA,Vaughn,WA,Accredited Member,1.0,17809,"17809 S  Road NW, Vaughn, WA, 17809, USA",38.9380912,-77.04493269999999
Brantwood Camp,Mountain RoadGreenfield,"Independent, Not for Profit",Amy Boyd,Trustees of Brantwood Camp,Peterborough,NH,Accredited Member,2.0,03047,"Mountain RoadGreenfield, Peterborough, NH, 03047, USA",42.9038804,-71.8625831
Camp Frederick,6996 Millrock Rd,"Lutheran, ELCA",Matt Miller,Camp Frederick (Operator) (LOM),Rogers,OH,Accredited Member,6.0,44455-9710,"6996 Millrock Rd, Rogers, OH, 44455-9710, USA",40.8002704,-80.59822179999999
Iroquois Springs,66 Bowers Rd,"Independent, For Profit",Mark Newfield,"Horizon Camp, Inc",Rock Hill,NY,Accredited Member,1.0,12775-6810,"66 Bowers Rd, Rock Hill, NY, 12775-6810, USA",41.6270124,-74.5762266
Circle Pines Center,8650 Mullen Rd,"Independent, Not for Profit",Tom VanHammen,Circle Pines Summer Camp,Delton,MI,Accredited Member,1.0,49046-8751,"8650 Mullen Rd, Delton, MI, 49046-8751, USA",42.5742747,-85.4598441
Two Sentinels Girl Scout Camp,Lake  Hwy 88,Girl Scouts of the USA,Two Sentinels Director Team,Girl Scouts - Northern California,Kirkwood,CA,Accredited Member,10.0,95646,"Lake  Hwy 88, Kirkwood, CA, 95646, USA",38.6999786,-120.0802359
Camp Gallagher,Russel Road,"Independent, Not for Profit",Megan McArthur Wellings,Friends of Camp Gallagher (Operator),Lakebay,WA,Accredited Member,4.0,98349,"Russel Road, Lakebay, WA, 98349, USA",47.2472384,-122.8228177
Camp Gallagher,Russel Road,"Independent, Not for Profit",Megan McArthur Wellings,Friends of Camp Gallagher (Operator),Lakebay,WA,,1.0,98349,"Russel Road, Lakebay, WA, 98349, USA",47.2472384,-122.8228177
Holiday Home Camp,361 N Lake Shore Dr,"Independent, Not for Profit","Brad Cripe, Kayla Wilkin",Lake Geneva Fresh Air Association,Williams Bay,WI,Accredited Member,1.0,53191,"361 N Lake Shore Dr, Williams Bay, WI, 53191, USA",42.565829,-88.56267
Camp Ella J Logan,203 Ems D14 Ln,Girl Scouts of the USA,Carrie Olinger,Girl Scouts - Northern Indiana Michiana,Syracuse,IN,Accredited Member,2.0,46567-7418,"203 Ems D14 Ln, Syracuse, IN, 46567-7418, USA",41.3777144,-85.76120739999999
Birchmont: A Pierce Camp,693 Governor Wentworth Hwy,"Independent, For Profit",Greg & Laura Pierce,Pierce Country Day Camp (Operator),Wolfeboro,NH,Accredited Member,1.0,03894-4619,"693 Governor Wentworth Hwy, Wolfeboro, NH, 03894-4619, USA",43.597684,-71.11611309999999
Camp Aranzazu Inc,5420 Loop 1781,"Independent, Not for Profit",Amelia Haslam,Camp Aranzazu Inc (Operator),Rockport,TX,Accredited Member,1.0,78382-7622,"5420 Loop 1781, Rockport, TX, 78382-7622, USA",28.1122834,-97.0397625
Lake Wapogasset Lutheran Bible Camp,738 Hickory Point Ln,"Lutheran, ELCA",Heather Eggert,Lake Wapogasset Lutheran Bible (LOM),Amery,WI,Accredited Member,2.0,54001-5129,"738 Hickory Point Ln, Amery, WI, 54001-5129, USA",45.3198,-92.41301969999999
Camp Horseshoe,3309 Horseshoe Run Rd,"Independent, Not for Profit",David Cooper,Ohio West Virginia Youth Leadership Association,Parsons,WV,Accredited Member,4.0,26287-9029,"3309 Horseshoe Run Rd, Parsons, WV, 26287-9029, USA",39.1738598,-79.6066094
Camp Horseshoe,"3309 Horseshoe Run RdParsons, WV","Independent, Not for Profit",David Cooper,Ohio West Virginia Youth Leadership Association,Rhinelander,WI,Accredited Member,4.0,26287-9029,"3309 Horseshoe Run RdParsons, WV, Rhinelander, WI, 26287-9029, USA",38.5976262,-80.4549026
Camp Kudzu,1145 Hightower Trl Ste 200,Diabetes Education & Camping Association,Kat Shreve,Camp Kudzu (Operator),Atlanta,GA,Accredited Member,1.0,30350-2981,"1145 Hightower Trl Ste 200, Atlanta, GA, 30350-2981, USA",33.9873725,-84.3497201
Camp Kooch-i-ching,2124 County Road 137,"Independent, Not for Profit",JR Verkamp,Camping & Education Foundation,International Falls,MN,Accredited Member,1.0,56649-8830,"2124 County Road 137, International Falls, MN, 56649-8830, USA",48.6039833,-93.21778069999999
Camp Kanuga,221 Camp Kanuga Cir,"Independent, Not for Profit",Jimmy Haden,Kanuga Conferences Inc (ECCC),Hendersonville,NC,Accredited Member,3.0,28739-0158,"221 Camp Kanuga Cir, Hendersonville, NC, 28739-0158, USA",35.2716026,-82.51293079999999
Camp Nicolet for Girls,16040 Hwy 70 East,"Independent, For Profit",Jeremy Starz,Camp Nicolet Inc (Operator),Eagle River,WI,Accredited Member,3.0,16040,"16040 Hwy 70 East, Eagle River, WI, 16040, USA",45.9392519,-89.0472666
Down Home Ranch Camp,20250 FM 619,"Independent, Not for Profit",,Down Home Ranch,Elgin,TX,Accredited Member,3.0,20250,"20250 FM 619, Elgin, TX, 20250, USA",30.4240742,-97.25939559999999
High Peak Camp,111 Salvation Ln,,Tim Sunderland,High Peak Camp (Operator),Estes Park,CO,Accredited Member,1.0,80517-6454,"111 Salvation Ln, Estes Park, CO, 80517-6454, USA",40.27928000000001,-105.5474352
Kingswood Camp,949 Route 25C,"Independent, For Profit",Bob & Alice Wipfler,Kingswood Camp (Operator),Piermont,NH,Accredited Member,1.0,03779-3506,"949 Route 25C, Piermont, NH, 03779-3506, USA",43.984809,-72.0230514
Farm Camp,34285 Kruse Ranch Rd,"Independent, For Profit",Jenny Grogan and Hadar Karni,Mountain Camp (Operator),Cazadero,CA,Accredited Member,1.0,34285,"34285 Kruse Ranch Rd, Cazadero, CA, 34285, USA",38.5899369,-123.3101605
El Camino Pines,11900 Frontier Rd,"Lutheran, ELCA",Lauri Egertson,Lutheran Retreats Camps and Conference Center (LOM),Frazier Park,CA,Accredited Member,1.0,11900,"11900 Frontier Rd, Frazier Park, CA, 11900, USA",34.8407371,-119.0935002
The Salvation Army Rappahannock Camp and Retreat Center,21457 Happyland Dr,Salvation Army,Captain Samuel Kim,The Salvation Army-Potomac Division,Richardsville,VA,Accredited Member,1.0,21457,"21457 Happyland Dr, Richardsville, VA, 21457, USA",38.401547,-77.7069995
Camp Dudley,126 Dudley Rd,"Independent, Not for Profit",Matt Storey,Camp Dudley Inc (Operator),Westport,NY,Accredited Member,1.0,12993-1700,"126 Dudley Rd, Westport, NY, 12993-1700, USA",44.18338259999999,-73.4637448
YMCA Camp Kern,5291 State Route 350,YMCA,Todd Brinkman,YMCA of Greater Dayton,Oregonia,OH,Accredited Member,3.0,45054-9746,"5291 State Route 350, Oregonia, OH, 45054-9746, USA",39.4051072,-84.1071954
Wonderland Camp & Conference Center,9241  Rd,Salvation Army,Doug Pearson,The Salvation Army Central Territory,Camp Lake,WI,Accredited Member,1.0,53109,"9241  Rd, Camp Lake, WI, 53109, USA",42.5366874,-88.143652
Sweyolakan,34313 W  Lake Shr,Camp Fire,Chris Gibbons,Camp Fire Inland Northwest Council,Coeur D Alene,ID,Accredited Member,2.0,34313,"34313 W  Lake Shr, Coeur D Alene, ID, 34313, USA",47.6734632,-116.7812225
Camp Dark Waters,,Quaker,Timothy Eager,Camp Dark Waters Inc,Medford,NJ,Accredited Member,1.0,,"nan, Medford, NJ, nan, USA",39.8699232,-74.8448397
Camp Swatara,2905 Camp Swatara Rd,Church of the Brethren,Marlin Houff,Camp Swatara (Operator),Bethel,PA,Accredited Member,2.0,19507-9554,"2905 Camp Swatara Rd, Bethel, PA, 19507-9554, USA",40.4963682,-76.37304859999999
Camp Robin Hood,65 Robin Hood Ln,"Independent, For Profit",Richard Woodstein,Camp Robin Hood (Operator),Freedom,NH,Accredited Member,2.0,03836-4541,"65 Robin Hood Ln, Freedom, NH, 03836-4541, USA",43.81265,-71.090503
YMCA Camp Chingachgook on Lake George,1872 Pilot Knob Rd,YMCA,Jiné Andreozzi,Capital District YMCA,Kattskill Bay,NY,Accredited Member,2.0,12844-1802,"1872 Pilot Knob Rd, Kattskill Bay, NY, 12844-1802, USA",43.5155808,-73.6249215
YMCA Storer Camps,6941 Stoney Lake Rd,YMCA,Abimbola Fajobi,YMCA of Greater Toledo,Jackson,MI,Accredited Member,1.0,49201-9220,"6941 Stoney Lake Rd, Jackson, MI, 49201-9220, USA",42.1585231,-84.2916618
Clemson University Outdoor Lab,415 Charlie White TrailPendleton,,,Clemson University/Outdoor Lab,Clemson,SC,Accredited Member,3.0,29670,"415 Charlie White TrailPendleton, Clemson, SC, 29670, USA",34.6211324,-82.84590879999999
Camp JCA Shalom,34342 Mulholland Hwy,Jewish Community Center,Joel Charnick,Shalom Institute Camp and Conf (JCCA),Malibu,CA,Accredited Member,2.0,34342,"34342 Mulholland Hwy, Malibu, CA, 34342, USA",34.0854951,-118.8970059
Camp Setebaid at Swatara,2905 Camp Swatara Rd,Diabetes Education & Camping Association,Sarah Shuff,Setebaid Services Inc,Bethel,PA,Accredited Member,2.0,19507-9554,"2905 Camp Swatara Rd, Bethel, PA, 19507-9554, USA",40.4963682,-76.37304859999999
YMCA Camp Nokomis,80 Bear Is,YMCA,Gretchen Seifert,Merrimack Valley YMCA Camping Services,Meredith,NH,Accredited Member,1.0,03253,"80 Bear Is, Meredith, NH, 03253, USA",43.6478158,-71.49514169999999
Redwood Glen,3100 Bean Creek Rd,Salvation Army,Ed Covert,The Salvation Army Camp and Outdoor Ministries-CA,Scotts Valley,CA,Accredited Member,4.0,95066-2724,"3100 Bean Creek Rd, Scotts Valley, CA, 95066-2724, USA",37.0792641,-122.0095775
Redwood Glen,3100 Bean Creek RdScotts Valley,Salvation Army,Ed Covert,The Salvation Army Camp and Outdoor Ministries-CA,Loma Mar,CA,,1.0,95066-2724,"3100 Bean Creek RdScotts Valley, Loma Mar, CA, 95066-2724, USA",37.0792641,-122.0095775
Peninsula Bay Cities Day Camp,30800 Palos Verdes Dr ERancho Palos Verdes,"Independent, For Profit",Adam& Heather Hibbeler,"Peninsula Activities, Inc.",Bass Lake,CA,Accredited Member,1.0,30800,"30800 Palos Verdes Dr ERancho Palos Verdes, Bass Lake, CA, 30800, USA",33.7531927,-118.4094251
Walt Whitman,1000 Cape Moonshine Rd,"Independent, For Profit",Carolyn and Jed Dorfman,"CampGroup, LLC (NYNJ)",Piermont,NH,Accredited Member,1.0,03779-3703,"1000 Cape Moonshine Rd, Piermont, NH, 03779-3703, USA",43.9489879,-71.96616399999999
Stoney Creek Ranch,1912 Zimmerscheidt,"Independent, Not for Profit",Michael Riedl,Stoney Creek Foundation,New Ulm,TX,Accredited Member,2.0,78950-2262,"1912 Zimmerscheidt, New Ulm, TX, 78950-2262, USA",29.8204965,-96.51279360000001
Teton Valley Ranch Camp,Dubois,"Independent, Not for Profit",Jim & Cora Ligori,TVRC Education Foundation,Jackson,WY,Accredited Member,2.0,,"Dubois, Jackson, WY, nan, USA",43.533565,-109.6304335
Camp Tecumseh YMCA,12635 W Tecumseh Bend Rd,YMCA,Joel Sieplinga,YMCA Camp Tecumseh (Operator),Brookston,IN,Accredited Member,4.0,12635,"12635 W Tecumseh Bend Rd, Brookston, IN, 12635, USA",40.6005989,-86.7607079
Camp E-Ko-Wah,297843 E 1660 Rd,,,Girl Scouts - Western Oklahoma,Marlow,OK,Accredited Member,1.0,29784,"297843 E 1660 Rd, Marlow, OK, 29784, USA",34.604923,-97.689611
Camp Capers,418 FM 1621,Episcopal,Rob Watson,Episcopal Diocese of West Texas (ECCC),Waring,TX,Accredited Member,2.0,78074,"418 FM 1621, Waring, TX, 78074, USA",29.9521003,-98.8044097
Camp Stanislaus,304 S Beach Blvd,Roman Catholic,Sam Doescher,Camp Stanislaus (Operator),Bay Saint Louis,MS,Accredited Member,1.0,39520-4301,"304 S Beach Blvd, Bay Saint Louis, MS, 39520-4301, USA",30.3067233,-89.3290571
Christikon,4661 Main Boulder Rd,"Lutheran, ELCA",Mark Donald,Lutheran Bible Camp Inc (LOM),Mc Leod,MT,Accredited Member,4.0,59052-8839,"4661 Main Boulder Rd, Mc Leod, MT, 59052-8839, USA",45.5335635,-110.2122858
